mole_fractions,water_mole_fraction,activation_energy,source_doi,ordinate,statistic,color,marker,measurement
"(0.333333333333, 0.666666666667)",0.0,46.748108735851176,10.1016/j.jct.2018.07.031,-19.938776872794893,0.9982713648426098,0.6285714285714286,^,measured
"(0.333333333333, 0.666666666667)",0.0,37.40101091822439,10.1016/j.molliq.2015.11.032,-16.26095444093196,0.9962119614682806,0.5428571428571428,D,measured
"(0.333333333333, 0.666666666667)",0.0,43.6478347642088,10.1039/c1cp22554e,-18.998363941921447,0.9990173018875578,0.28571428571428575,*,measured
"(0.333333333333, 0.666666666667)",0.0,45.09953704837579,10.1039/c0gc00395f,-19.54021233088029,0.9985211447231818,0.37142857142857144,p,measured
"(0.333333333333, 0.666666666667)",0.0,41.92553529214698,10.1016/j.fluid.2014.01.028,-17.979190403571202,0.9963042531244406,0.7142857142857144,s,measured
"(0.297333333333, 0.594666666667, 0.108)",0.108,40.36640309828453,10.1016/j.fluid.2014.01.028,-17.71444415757274,0.9964111461460519,0.7142857142857144,s,measured
"(0.253966666667, 0.507933333333, 0.2381)",0.238,37.590289434544005,10.1016/j.fluid.2014.01.028,-17.066439184969255,0.9957964138558152,0.7142857142857144,s,measured
"(0.24937655859, 0.49625935141, 0.25436409)",0.254,41.59735906895405,10.1016/j.jct.2018.07.031,-18.633963845246107,0.9981012877327782,0.6285714285714286,^,measured
"(0.219166666667, 0.438333333333, 0.3425)",0.342,34.74069396067016,10.1016/j.fluid.2014.01.028,-16.344018728960574,0.9962033977886532,0.7142857142857144,s,measured
"(0.199266666667, 0.398533333333, 0.4022)",0.402,33.52641468472583,10.1016/j.fluid.2014.01.028,-16.11206178007955,0.9966786243910134,0.7142857142857144,s,measured
"(0.134066666667, 0.268133333333, 0.5978)",0.598,28.874286184163058,10.1016/j.fluid.2014.01.028,-15.259642287439222,0.998424934802775,0.7142857142857144,s,measured
"(0.093366666667, 0.186733333333, 0.7199)",0.72,24.93858118452952,10.1016/j.fluid.2014.01.028,-14.486950789717408,0.9977501155990873,0.7142857142857144,s,measured
"(0.066766666667, 0.133533333333, 0.7997)",0.8,22.366546409785492,10.1016/j.fluid.2014.01.028,-14.060409868195554,0.9965350214411564,0.7142857142857144,s,measured
"(0.047533333333, 0.095066666667, 0.8574)",0.857,18.893527986387515,10.1016/j.fluid.2014.01.028,-13.195561541738126,0.9977619592094279,0.7142857142857144,s,measured
"(0.033100000000000004, 0.06620000000000001, 0.9007000000000001)",0.901,17.207759499262686,10.1016/j.fluid.2014.01.028,-12.921999601791494,0.9973709693800035,0.7142857142857144,s,measured
"(0.022166666667, 0.044333333333, 0.9335)",0.934,16.01387247939592,10.1016/j.fluid.2014.01.028,-12.784445594519813,0.9956614883943171,0.7142857142857144,s,measured
"(0.013266666667, 0.026533333333, 0.9602)",0.96,15.54666522290725,10.1016/j.fluid.2014.01.028,-12.86388652006729,0.9981099735467147,0.7142857142857144,s,measured
"(0.006033333333, 0.012066666667, 0.9819)",0.982,14.912521507483168,10.1016/j.fluid.2014.01.028,-12.84123806778582,0.9976744299612749,0.7142857142857144,s,measured
"(1.0,)",1.0,13.95793979116323,10.1016/j.fluid.2014.01.028,-12.65557326950567,0.996171986970052,0.7142857142857144,s,measured
